Category,Post Hook / Title,Content Type,Angle,Viral Potential
AI,AI won't replace you — someone using AI will replace you,Contrarian take,Personal observation,High
AI,The AI tools I use daily as a [job title],Listicle / utility,Tool recommendations,High
AI,I asked 5 AI chatbots the same question — here's the wildest answer,Experiment / comparison,Viral curiosity,Very High
AI,Most people use ChatGPT wrong. Here's the prompt structure that actually works,Tutorial / education,Tips and tricks,High
AI,AI saved me [X hours/week]. Here's exactly how,ROI / productivity,Personal story,High
AI,Why every startup should be an AI company now,Trend take,Business strategy,Medium
AI,The AI skills that will be valuable in 2025 vs. 2024,Prediction / career,Future-proofing,High
AI,I built a full SaaS in 48 hours with AI. Here's what I learned,Build / experiment,No-code/AI build,Very High
AI,AI is not as smart as you think. Here's why,Contrarian,Nuance/take,Medium
AI,The real reason AI progress feels so fast (and why it'll slow down),Insight / analysis,Industry take,Medium
AI for Researchers,How I'm using AI to read 10x more papers,Productivity workflow,Academic tool use,High
AI for Researchers,Perplexity AI vs. ChatGPT for research — real comparison,Comparison,Tool review,High
AI for Researchers,I used AI to help write my research paper — ethically? Here's my take,Opinion / ethics,Academic integrity,High
AI for Researchers,Free AI tools every PhD student should know in 2025,Resource list,Tool curation,High
AI for Researchers,AI helped me find a critical gap in my literature review,Personal story,Research workflow,Medium
AI for Researchers,Why your literature review is probably incomplete without AI,Contrarian,Research methods,Medium
AI for Researchers,I'm a [field] researcher. Here's how AI changed my workflow,AMA / personal,Day in life,High
AI in Medical,AI detected my cancer before the doctors did,Personal story,Life-changing use case,Very High
AI in Medical,How AI is diagnosing diseases faster than radiologists now,Industry news,AI advancement,High
AI in Medical,The hospital that replaced 30 radiologists with AI — 1 year later,Case study,Real world impact,Very High
AI in Medical,AI in healthcare: hype vs. reality in 2025,Fact-check,Balanced take,High
AI in Medical,Doctors who use AI will replace doctors who don't,Provocative take,Industry opinion,High
AI in Medical,I built an AI diagnostic tool for [rare disease]. Here's what happened,Build story,Innovation,High
AI in Medical,HIPAA and AI: what every medical professional needs to know,Education,Compliance,Medium
AI in Medical,The AI wearable that caught my arrhythmia before symptoms appeared,Personal story,Wearables/AI,Very High
